name,menu_type,rank,hidden_flag,routing_type,template,category,resource_name,resource_type,resource_url,id_field,title_field,group_name
Receive Goods,SCREEN,200,false,static,receive-goods,owner,,,receiving,,,Inbound
Worksheets,SCREEN,500,false,static,worksheet-list,owner,,,worksheets,,,Inbound
Unloading,SCREEN,600,false,static,unload-product,owner,,,unloading,,,Inbound
Putaway,SCREEN,700,false,static,putaway-product,owner,,,putaway,,,Inbound
Execute VAS,SCREEN,800,false,static,execute-vas,owner,,,execute_vas,,,Inbound
Company,SCREEN,100,false,static,company-list,,,,companies,,,Master Data
Product,SCREEN,300,false,static,product-list,customer,,,products,,,Master Data
VAS,SCREEN,400,false,static,vas-list,owner,,,vas,,,Master Data
Warehouse,SCREEN,600,false,static,warehouse-list,owner,,,warehouses,,,Master Data
Transport Vehicle,SCREEN,800,false,static,transport-vehicle,owner,,,transport_vehicle,,,Master Data
Transport Driver,SCREEN,900,false,static,transport-driver,owner,,,transport_driver,,,Master Data
Create Quotation,SCREEN,100,false,static,create-quotation,owner,,,create_quotation,,,Billing
Quotations,SCREEN,200,false,static,quotation-list,owner,,,quotations,,,Billing
Invoices,SCREEN,300,false,static,invoice-list,owner,,,invoices,,,Billing
Create Claim Chit,SCREEN,400,false,static,create-claim-chit,owner,,,create_claim_chit,,,Billing
Claim Chits,SCREEN,500,false,static,claim-chit-list,owner,,,claim_chit_list,,,Billing
Summary Bill Amount,SCREEN,600,true,static,summary-bill-amount,owner,,,bill,,,Billing
Create Arrival Notice,SCREEN,100,false,static,create-arrival-notice,customer,,,create_arrival_notice,,,Order
Arrival Notices,SCREEN,200,false,static,arrival-notice-list,customer,,,arrival_notices,,,Order
Create Release Order,SCREEN,300,false,static,create-release-order,customer,,,create_release_order,,,Order
Release Orders,SCREEN,400,false,static,release-order-list,customer,,,release_orders,,,Order
Create Transport Order,SCREEN,500,false,static,create-transport-order,customer,,,create_transport_order,,,Order
Collection Orders,SCREEN,800,false,static,collection-order-list,customer,,,collection_orders,,,Order
Delivery Orders,SCREEN,800,false,static,delivery-order-list,customer,,,delivery_orders,,,Order
Arrival Notice Requests,SCREEN,900,false,static,arrival-notice-requests,owner,,,arrival_notice_requests,,,Order
Release Order Requests,SCREEN,1000,false,static,release-order-requests,owner,,,release_order_requests,,,Order
Delivery Order Requests,SCREEN,1100,false,static,delivery-order-requests,owner,,,delivery_order_requests,,,Order
Collection Order Requests,SCREEN,1200,false,static,collection-order-requests,owner,,,collection_order_requests,,,Order
Create VAS Order,SCREEN,1300,false,static,create-vas-order,customer,,,create_vas_order,,,Order
Vas Orders,SCREEN,1400,false,static,vas-order-list,customer,,,vas_orders,,,Order
Vas Order Requests,SCREEN,1500,false,static,vas-order-requests,owner,,,vas_requests,,,Order
Picking,SCREEN,200,false,static,picking-by-product,owner,,,picking_product,,,Outbound
Onhand Inventory,SCREEN,100,false,static,onhand-inventory,,,,onhand_inventory,,,Inventory
Intransit Invetory,SCREEN,200,false,static,intransit-inventory,,,,intransit_inventory,,,Inventory
Inventory Histories,SCREEN,300,false,static,inventory-history,,,inventory_histories,,,Inventory
User,SCREEN,100,false,static,system-user,owner,,,users,,,System
Role,SCREEN,200,false,static,system-role,owner,,,roles,,,System
Menu,SCREEN,300,false,static,system-menu,owner,,,menus,,,System
Code,SCREEN,400,false,static,system-code,owner,,,codes,,,System
Setting,SCREEN,500,false,static,system-setting,owner,,,settings,,,System
User Bizplaces,SCREEN,600,false,static,system-user-bizplaces,owner,,,user_bizplaces,,,System
